"frame1","frame2","distance"
2,21,285
2,22,285.3944638566067
2,23,286.574597618142
2,24,288.5307609250702
2,25,291.247317584214
2,26,294.7032405658275
2,27,298.8728826775691
2,28,303.7268509697488
2,29,309.23292192132453
2,30,315.35694062442957
2,31,322.0636583037583
2,32,329.31747600150226
2,33,342.3813663153998
2,34,355.59808773389096
2,35,368.9512162874653
2,36,382.4264635194589
2,37,396.01136347332255
2,38,409.69500851242987
2,39,423.46782640479313
2,40,437.3213921133975
2,41,451.2482686947397
2,42,465.2418725781247
2,43,479.2963592601137
2,44,493.4065261019558
2,45,507.56772947065895
2,46,521.7758139277826
2,47,536.0270515561691
2,48,550.3180898353243
2,49,564.6459067415614
2,50,579.0077719685635
2,51,593.4012133455744
2,52,607.8239876806442
2,53,622.2740553807462
2,54,636.7495583037337
2,55,651.2488003827723
2,56,665.7702306351644
2,57,680.312428226914
2,58,694.8740893140282
2,59,709.454015423128
2,60,724.0511031688302
2,61,727.6159701380942
2,62,731.4711204141965
2,63,735.6119901143537
2,64,740.0337830126406
2,65,744.7314952383846
2,66,749.699939975988
2,67,754.9337719296972
2,68,760.4275113381946
2,69,766.1755673473281
2,70,772.172260574025
2,71,778.4118447197474
2,72,784.8885271170677
2,73,791.5964881175257
2,74,798.5298992523699
2,75,805.6829401197471
2,76,813.0498139720592
2,77,820.6247619953958
2,78,833.5466393669883
2,79,846.5370635713477
2,80,859.5929269136642
2,81,872.7112924673314
2,82,885.889383614004
2,83,899.1245742387425
2,84,912.4143795447329
2,85,925.7564474525684
2,86,939.1485505499116
2,87,952.5885785584456
2,88,966.0745312862771
2,89,979.6045120353417
2,90,993.1767214348109
2,91,1006.78945167299
2,92,1020.4410811016969
2,93,1034.130069188591
2,94,1047.8549517943788
2,95,1061.6143367532297
2,96,1075.4068997360953
2,97,1089.231380377925
2,98,1103.0865786510142
2,99,1116.9713514678879
2,100,1130.884609498246
2,101,1144.8253141855312
2,102,1158.7924749496779
2,103,1172.7851465635126
2,104,1186.8024266911489
2,105,1200.8434535775261
2,106,1214.9074038789952
2,107,1228.9934906255605
2,108,1243.1009613060396
2,109,1257.2290960680157
2,110,1271.3772060250255
2,111,1285.5446316639498
2,112,1299.7307413460683
2,113,1313.9349298956931
2,114,1328.1566172707194
2,115,1342.3952473098227
2,116,1347.1636871590624
2,117,1352.081728298996
2,118,1357.1477443521026
2,119,1362.3600845591448
2,120,1367.717076006584
2,121,1373.2170258192984
2,122,1378.8582233137677
2,123,1384.6389421072918
2,124,1390.5574421792146
2,125,1396.611971880522
2,126,1402.8007698885826
2,127,1409.1220671041951
2,128,1415.574088488483
2,129,1422.155054837552
2,130,1428.863184493183
2,131,1435.6966949881858
2,132,1442.6538046253509
2,133,1449.7327339892688
2,134,1456.9317073905695
2,135,1464.248954242413
2,136,1471.6827103693242
2,137,1479.2312192487016
2,138,1486.8927331855516
3,0,45
3,1,30
3,2,15
3,3,0
3,4,15
3,5,30
3,6,45
3,7,60
3,8,75
3,9,90
3,10,105
3,11,120
3,12,135
3,13,150
3,14,165
3,15,180
3,16,195
3,17,210
3,18,225
3,19,240
3,20,255
3,21,270
3,22,270.4163456597992
3,23,271.6615541441225
3,24,273.72431386341987
3,25,276.5863337187866
3,26,280.22312538404105
3,27,284.60498941515414
3,28,289.69811873741946
3,29,295.4657340538831
3,30,301.8691769624716
3,31,308.86890422961
3,32,316.4253466459348
3,33,329.31747600150226
3,34,342.3813663153998
3,35,355.59808773389096
3,36,368.9512162874653
3,37,382.4264635194589
3,38,396.01136347332255
3,39,409.69500851242987
3,40,423.46782640479313
3,41,437.3213921133975
3,42,451.2482686947397
3,43,465.2418725781247
3,44,479.2963592601137
3,45,493.4065261019558
3,46,507.56772947065895
3,47,521.7758139277826
3,48,536.0270515561691
3,49,550.3180898353243
3,50,564.6459067415614
3,51,579.0077719685635
3,52,593.4012133455744
3,53,607.8239876806442
3,54,622.2740553807462
3,55,636.7495583037337
3,56,651.2488003827723
3,57,665.7702306351644
3,58,680.312428226914
3,59,694.8740893140282
3,60,709.454015423128
3,61,713.0918594402827
3,62,717.0251041630272
3,63,721.2489168102785
3,64,725.7582242041767
3,65,730.5477397131552
3,66,735.6119901143537
3,67,740.9453421137082
3,68,746.5420282877582
3,69,752.3961722390671
3,70,758.5018127862319
3,71,764.8529270389178
3,72,771.4434522374274
3,73,778.2673062643709
3,74,785.3184067625054
3,75,792.5906888173744
3,76,800.0781211856752
3,77,807.7747210701756
3,78,820.6247619953958
3,79,833.5466393669883
3,80,846.5370635713477
3,81,859.5929269136642
3,82,872.7112924673314
3,83,885.889383614004
3,84,899.1245742387425
3,85,912.4143795447329
3,86,925.7564474525684
3,87,939.1485505499116
3,88,952.5885785584456
3,89,966.0745312862771
3,90,979.6045120353417
3,91,993.1767214348109
3,92,1006.78945167299
3,93,1020.4410811016969
3,94,1034.130069188591
3,95,1047.8549517943788
3,96,1061.6143367532297
3,97,1075.4068997360953
3,98,1089.231380377925
3,99,1103.0865786510142
3,100,1116.9713514678879
3,101,1130.884609498246
3,102,1144.8253141855312
3,103,1158.7924749496779
3,104,1172.7851465635126
3,105,1186.8024266911489
3,106,1200.8434535775261
3,107,1214.9074038789952
3,108,1228.9934906255605
3,109,1243.1009613060396
3,110,1257.2290960680157
3,111,1271.3772060250255
3,112,1285.5446316639498
3,113,1299.7307413460683
3,114,1313.9349298956931
3,115,1328.1566172707194
3,116,1332.9759937823337
3,117,1337.9461872586655
3,118,1343.0655233457526
3,119,1348.3323032546539
3,120,1353.7448060842191
3,121,1359.301291105103
3,122,1365
3,123,1370.8391590555034
3,124,1376.8169813014365
3,125,1382.9316685939332
3,126,1389.181413638982
3,127,1395.564401953561
3,128,1402.0788137619083
3,129,1408.7228258248674
3,130,1415.4946132006296
3,131,1422.3923509355639
3,132,1429.414215684173
3,133,1436.5583872575455
3,134,1443.8230500999769
3,135,1451.206394693739
3,136,1458.7066188922295
3,137,1466.3219291819923
3,138,1474.050541874328
4,0,60
4,1,45
4,2,30
4,3,15
4,4,0
4,5,15
4,6,30
4,7,45
4,8,60
4,9,75
4,10,90
4,11,105
4,12,120
4,13,135
4,14,150
4,15,165
4,16,180
4,17,195
4,18,210
4,19,225
4,20,240
4,21,255
4,22,255.44079548889601
4,23,256.7586415293554
4,24,258.940147524481
4,25,261.9637379485947
4,26,265.80067720004024
4,27,270.4163456597992
4,28,275.77164466275354
4,29,281.82441342083905
4,30,288.5307609250702
4,31,295.8462438497403
4,32,303.7268509697488
4,33,316.4253466459348
4,34,329.31747600150226
4,35,342.3813663153998
4,36,355.59808773389096
4,37,368.9512162874653
4,38,382.4264635194589
4,39,396.01136347332255
4,40,409.69500851242987
4,41,423.46782640479313
4,42,437.3213921133975
4,43,451.2482686947397
4,44,465.2418725781247
4,45,479.2963592601137
4,46,493.4065261019558
4,47,507.56772947065895
4,48,521.7758139277826
4,49,536.0270515561691
4,50,550.3180898353243
4,51,564.6459067415614
4,52,579.0077719685635
4,53,593.4012133455744
4,54,607.8239876806442
4,55,622.2740553807462
4,56,636.7495583037337
4,57,651.2488003827723
4,58,665.7702306351644
4,59,680.312428226914
4,60,694.8740893140282
4,61,698.5878613317011
4,62,702.6023057178221
4,63,706.9123000768907
4,64,711.5124735378854
4,65,716.3972361755732
4,66,721.5608082483416
4,67,726.9972489631581
4,68,732.7004845091888
4,69,738.6643351347078
4,70,744.8825410761082
4,71,751.3487871820917
4,72,758.0567261095966
4,73,765
4,74,772.172260574025
4,75,779.567187611177
4,76,787.1785058041156
4,77,795
4,78,807.7747210701756
4,79,820.6247619953958
4,80,833.5466393669883
4,81,846.5370635713477
4,82,859.5929269136642
4,83,872.7112924673314
4,84,885.889383614004
4,85,899.1245742387425
4,86,912.4143795447329
4,87,925.7564474525684
4,88,939.1485505499116
4,89,952.5885785584456
4,90,966.0745312862771
4,91,979.6045120353417
4,92,993.1767214348109
4,93,1006.78945167299
4,94,1020.4410811016969
4,95,1034.130069188591
4,96,1047.8549517943788
4,97,1061.6143367532297
4,98,1075.4068997360953
4,99,1089.231380377925
4,100,1103.0865786510142
4,101,1116.9713514678879
4,102,1130.884609498246
4,103,1144.8253141855312
4,104,1158.7924749496779
4,105,1172.7851465635126
4,106,1186.8024266911489
4,107,1200.8434535775261
4,108,1214.9074038789952
4,109,1228.9934906255605
4,110,1243.1009613060396
4,111,1257.2290960680157
4,112,1271.3772060250255
4,113,1285.5446316639498
4,114,1299.7307413460683
4,115,1313.9349298956931
4,116,1318.806278419996
4,117,1323.8296718233807
4,118,1329.0033860002013
4,119,1334.325672390365
4,120,1339.7947604017565
4,121,1345.4088597894693
4,122,1351.1661629866255
4,123,1357.0648473820254
4,124,1363.1030775403597
4,125,1369.2790073611732
4,126,1375.590782173245
4,127,1382.0365407614952
4,128,1388.614417323974
4,129,1395.3225433569114
4,130,1402.1590494662153
4,131,1409.1220671041951
4,132,1416.2097302306604
4,133,1423.4201768978828
4,134,1430.7515507592504
4,135,1438.2020025017348
4,136,1445.7696912025788
4,137,1453.4527856108707
4,138,1461.2494653549065
5,0,75
5,1,60
5,2,45
5,3,30
5,4,15
5,5,0
5,6,15
5,7,30
5,8,45
5,9,60
5,10,75
5,11,90
5,12,105
5,13,120
5,14,135
5,15,150
5,16,165
5,17,180
5,18,195
5,19,210
5,20,225
5,21,240
5,22,240.46829312822095
5,23,241.8677324489565
5,24,244.1823089414956
5,25,247.38633753705963
5,26,251.44581921360316
5,27,256.3201123595259
5,28,261.9637379485947
5,29,268.32815729997475
5,30,275.3633962602873
5,31,283.0194339616981
5,32,291.247317584214
5,33,303.7268509697488
5,34,316.4253466459348
5,35,329.31747600150226
5,36,342.3813663153998
5,37,355.59808773389096
5,38,368.9512162874653
5,39,382.4264635194589
5,40,396.01136347332255
5,41,409.69500851242987
5,42,423.46782640479313
5,43,437.3213921133975
5,44,451.2482686947397
5,45,465.2418725781247
5,46,479.2963592601137
5,47,493.4065261019558
5,48,507.56772947065895
5,49,521.7758139277826
5,50,536.0270515561691
5,51,550.3180898353243
5,52,564.6459067415614
5,53,579.0077719685635
5,54,593.4012133455744
5,55,607.8239876806442
5,56,622.2740553807462
5,57,636.7495583037337
5,58,651.2488003827723
5,59,665.7702306351644
5,60,680.312428226914
5,61,684.1052550594828
5,62,688.2041848172678
5,63,692.6037828369117
5,64,697.2983579501675
5,65,702.2819946431775
5,66,707.5485849042453
5,67,713.0918594402827
5,68,718.9054179793055
5,69,724.9827584156743
5,70,731.3173045949344
5,71,737.9024325749306
5,72,744.7314952383846
5,73,751.7978451685001
