0,0,0,1.0
0,1,22,0.5277777777777778
0,2,44,0.08333333333333331
0,3,66,0.0
0,4,134.8517704741024,0.0
0,5,156.31058825300352,0.0
0,6,177.9016582272352,0.0
0,7,199.58206332233365,0.0
0,8,221.32555207205516,0.0
1,0,22,0.5066666666666667
1,1,0,1.0
1,2,22,0.22666666666666666
1,3,44,0.04
1,4,113.6001760562016,0.0
1,5,134.8517704741024,0.0
1,6,156.31058825300352,0.0
1,7,177.9016582272352,0.0
1,8,199.58206332233365,0.0
2,0,44,0.125
2,1,22,0.35416666666666674
2,2,0,1.0
2,3,22,0.16666666666666663
2,4,92.69843580125827,0.0
2,5,113.6001760562016,0.0
2,6,134.8517704741024,0.0
2,7,156.31058825300352,0.0
2,8,177.9016582272352,0.0
3,0,66,0.0
3,1,44,0.05769230769230769
3,2,22,0.15384615384615385
3,3,0,1.0
3,4,72.44998274671983,0.34615384615384615
3,5,92.69843580125827,0.1346153846153846
3,6,113.6001760562016,0.0
3,7,134.8517704741024,0.0
3,8,156.31058825300352,0.0
4,0,134.8517704741024,0.0
4,1,113.6001760562016,0.0
4,2,92.69843580125827,0.0
4,3,72.44998274671983,0.26865671641791045
4,4,0,1.0
4,5,22,0.44776119402985076
4,6,44,0.029850746268656712
4,7,66,0.0
4,8,88,0.0
5,0,156.31058825300352,0.0
5,1,134.8517704741024,0.0
5,2,113.6001760562016,0.0
5,3,92.69843580125827,0.0945945945945946
5,4,22,0.40540540540540543
5,5,0,1.0
5,6,22,0.20270270270270271
5,7,44,0.027027027027027025
5,8,66,0.0
6,0,177.9016582272352,0.0
6,1,156.31058825300352,0.0
6,2,134.8517704741024,0.0
6,3,113.6001760562016,0.0
6,4,44,0.027027027027027025
6,5,22,0.20270270270270271
6,6,0,1.0
6,7,22,0.2702702702702703
6,8,44,0.04054054054054054
7,0,199.58206332233365,0.0
7,1,177.9016582272352,0.0
7,2,156.31058825300352,0.0
7,3,134.8517704741024,0.0
7,4,66,0.0
7,5,44,0.025974025974025972
7,6,22,0.2597402597402597
7,7,0,1.0
7,8,22,0.3896103896103897
8,0,221.32555207205516,0.0
8,1,199.58206332233365,0.0
8,2,177.9016582272352,0.0
8,3,156.31058825300352,0.0
8,4,88,0.0
8,5,66,0.0
8,6,44,0.028301886792452834
8,7,22,0.2830188679245283
8,8,0,1.0
